question,ground_truth,contexts,evolution_type,source_doc_ids,expected_advisors,tags
"Mình hay bị căng thẳng trước kỳ thi, có cách nào giảm stress nhanh không?","Trước kỳ thi, có thể thử kỹ thuật thở 4-7-8 (hít 4 giây, giữ 7 giây, thở ra 8 giây) để giảm căng thẳng tức thì. Ngoài ra, chia nhỏ việc ôn tập thành các khung 25 phút (Pomodoro) giúp não không bị quá tải.","Kỹ thuật thở 4-7-8 kích hoạt hệ thần kinh phó giao cảm, giúp cơ thể thư giãn nhanh; Phương pháp Pomodoro giúp duy trì tập trung mà không kiệt sức","simple","stress_001;stress_002","empathy_advisor;cbt_pattern_advisor","stress,exam,breathing,student"
"Mình không ngủ được vì cứ nghĩ mãi về chuyện ngày mai, làm sao để tắt não đây?","Khi não không tắt được do lo lắng về tương lai, thử viết ra tất cả những gì đang nghĩ vào một tờ giấy — gọi là 'worry dump'. Sau đó gập tờ giấy lại và nhủ não rằng đã ghi lại rồi, không cần giữ nữa. Kết hợp với thở chậm 5-5-5 có thể giúp ngủ dễ hơn.","Lo âu trước khi ngủ thường do não cố gắng xử lý vấn đề chưa giải quyết; kỹ thuật viết ra lo lắng giúp giảm tải cho vùng prefrontal cortex","simple","sleep_001;anxiety_001","empathy_advisor;sleep_advisor","sleep,anxiety,worry,student"
"Mình hay tự trách bản thân khi mắc lỗi, cảm giác mình thật vô dụng. Mình nên làm gì?","Tự trách bản thân quá mức là một kiểu suy nghĩ tiêu cực phổ biến. Thử hỏi bản thân: 'Nếu bạn mình mắc lỗi này, mình có nghĩ họ vô dụng không?' Thường câu trả lời là không — và bạn xứng đáng được đối xử với bản thân theo cách tương tự.","Tự phê bình quá mức liên quan đến kiểu suy nghĩ all-or-nothing và labeling; self-compassion giúp giảm vòng lặp này","simple","selfcompassion_001;cbt_001","cbt_pattern_advisor;empathy_advisor","self-compassion,cognitive-distortion,student"
"Kỹ thuật thở 4-7-8 là gì và dùng như thế nào?","Kỹ thuật thở 4-7-8: hít vào qua mũi trong 4 giây, giữ hơi thở trong 7 giây, thở ra qua miệng trong 8 giây. Lặp lại 4 lần. Kỹ thuật này kích hoạt phản ứng thư giãn của hệ thần kinh, giúp giảm lo âu và căng thẳng trong vài phút.","Thở 4-7-8 do Dr. Andrew Weil phổ biến; tỷ lệ thở ra dài hơn hít vào giúp kích hoạt hệ thần kinh phó giao cảm","simple","breathing_001","cbt_pattern_advisor;sleep_advisor","breathing,anxiety,relaxation"
"Mình cảm thấy kiệt sức hoàn toàn, không muốn làm gì nữa, ngay cả những thứ mình từng thích. Điều này có bình thường không?","Cảm giác mất hứng thú với những thứ từng thích (gọi là anhedonia) và kiệt sức hoàn toàn là dấu hiệu cơ thể và tâm trí đang cần được nghỉ ngơi nghiêm túc. Điều quan trọng là không cố ép bản thân, và nếu tình trạng kéo dài hơn 2 tuần, nên tìm đến chuyên gia tâm lý để nói chuyện.","Kiệt sức và mất hứng thú kéo dài là tín hiệu cần được chú ý; Serene không chẩn đoán nhưng khuyến khích tìm hỗ trợ chuyên nghiệp khi cần","simple","burnout_001;referral_001","empathy_advisor;resource_advisor","burnout,exhaustion,anhedonia,student"
"Mình bị mất ngủ đã 3 tuần rồi, cứ thức đến 3-4 giờ sáng. Có cách nào cải thiện không?","Mất ngủ kéo dài 3 tuần cần được giải quyết có hệ thống. Bắt đầu với sleep hygiene: đi ngủ và thức dậy cùng giờ mỗi ngày, tránh màn hình 1 tiếng trước khi ngủ, và không nằm trên giường khi chưa buồn ngủ. Nếu sau 2 tuần áp dụng không cải thiện, nên tham khảo ý kiến bác sĩ.","Sleep hygiene là nền tảng đầu tiên cho điều trị mất ngủ không dùng thuốc; tính nhất quán về giờ ngủ quan trọng hơn tổng số giờ ngủ","simple","sleep_002;sleep_003","sleep_advisor;empathy_advisor","sleep,insomnia,sleep-hygiene"
"Mình hay lo lắng về những chuyện nhỏ nhặt và không kiểm soát được suy nghĩ. Có phương pháp nào giúp không?","Một kỹ thuật hiệu quả là 'lo có lịch' — dành 15 phút mỗi ngày để lo lắng, và khi lo lắng ngoài khung giờ đó, nhắc nhở bản thân 'chưa đến giờ lo'. Ngoài ra, kỹ thuật 5-4-3-2-1 (nhận diện 5 thứ nhìn thấy, 4 thứ cảm thấy, 3 thứ nghe thấy, 2 thứ ngửi thấy, 1 thứ nếm thấy) giúp kéo tâm trí về hiện tại.","Worry postponement technique giúp não học cách không xử lý lo âu ngay lập tức; grounding 5-4-3-2-1 giúp ngắt vòng lặp lo lắng bằng cách kích hoạt các giác quan","simple","anxiety_002;mindfulness_001","cbt_pattern_advisor;empathy_advisor","anxiety,worry,mindfulness,grounding"
"Cognitive distortion là gì? Mình nghe nói về điều này nhưng chưa hiểu lắm.","Cognitive distortion (suy nghĩ bóp méo) là những kiểu suy nghĩ không chính xác mà não tự động tạo ra, như 'all-or-nothing' (chỉ thấy trắng hoặc đen), catastrophizing (phóng đại vấn đề), hoặc mind-reading (tự đoán người khác nghĩ gì về mình). Nhận ra được các kiểu này là bước đầu để thay đổi chúng.","CBT xác định hơn 10 loại cognitive distortion phổ biến; nhận ra và đặt câu hỏi cho chúng là core skill trong CBT","simple","cbt_001;cbt_002","cbt_pattern_advisor","cbt,cognitive-distortion,psychoeducation"
"Mình muốn học cách tự chấp nhận bản thân hơn. Bắt đầu từ đâu?","Bắt đầu với việc nhận ra rằng tự chấp nhận không có nghĩa là hài lòng với tất cả — mà là thừa nhận bản thân đang ở đâu mà không phán xét. Một bài tập nhỏ: mỗi tối viết ra 1 điều bạn đã làm được hôm nay, dù nhỏ. Không cần phải xuất sắc, chỉ cần là thật.","Self-compassion theo Kristin Neff gồm 3 yếu tố: mindfulness, common humanity, và self-kindness; bài tập viết nhật ký giúp củng cố self-compassion","simple","selfcompassion_001;selfcompassion_002","empathy_advisor;cbt_pattern_advisor","self-compassion,self-acceptance,journaling"
"Làm sao để mình ngừng so sánh bản thân với người khác?","So sánh xã hội là phản xạ tự nhiên của não, nhưng có thể giảm bớt. Mỗi khi bắt gặp mình đang so sánh, hãy hỏi: 'Mình đang so sánh với highlight reel của người khác hay với full story của mình?' Tập trung vào 'mình của hôm qua vs mình của hôm nay' thay vì so sánh với người khác.","Social comparison theory (Festinger): so sánh upward thường gây ra cảm giác kém cỏi; reframing so sánh về trục thời gian thay vì trục xã hội giúp giảm tác động tiêu cực","simple","selfcompassion_002;cbt_003","cbt_pattern_advisor;empathy_advisor","self-compassion,social-comparison,student"
